community,Asia,Mexico and Territories,Central American,South American,Other Hispanic Areas
Chicago,144193,778862,31263,32129,23599
Rogers Park,3448,13433,839,640,530
West Ridge,15819,14701,1214,1226,551
Uptown,6293,8009,659,899,516
Lincoln Square,4346,7562,848,931,414
North Center,1446,4330,283,447,262
Lake View,5565,7198,435,989,580
Lincoln Park,3254,3571,169,517,291
Near North Side,8043,3974,182,835,509
Edison Park,269,872,57,76,38
Norwood Park,1695,4442,209,418,202
Jefferson Park,2228,4927,347,466,151
Forest Glen,1953,2126,130,321,111
North Park,4538,3224,318,482,168
Albany Park,7403,25487,2520,3322,1064
Portage Park,3014,24861,1933,2273,674
Irving Park,3794,24332,2102,2328,814
Dunning,1603,9997,729,771,292
Montclare,392,7248,435,362,113
Belmont Cragin,1638,62101,3651,2817,1597
Hermosa,323,21860,1323,677,618
Avondale,1230,25295,1651,1938,656
Logan Square,1939,37340,1890,1858,979
Humboldt Park,287,30046,1294,524,575
West Town,3009,23856,552,1053,703
Austin,599,8722,485,325,354
West Garfield Park,11,348,21,15,38
East Garfield Park,89,850,31,11,101
Near West Side,7898,5048,173,449,331
North Lawndale,74,2144,56,42,136
Soth Lawndale,169,65457,780,294,2053
Lower West Side,409,29486,330,386,644
Loop,4602,2010,103,315,207
Near South Side,3255,1202,47,203,101
Armour Square,9700,464,14,26,34
Douglas,2290,465,15,30,61
Oakland,35,87,6,2,6
Fuller Park,7,132,4,0,1
Grand Bouevard,56,395,25,14,23
Kenwood,957,542,29,90,50
Washington Park,12,104,8,0,22
Hyde Park,3173,1626,120,299,143
Woodlawn,560,543,34,57,86
South Shore,97,854,37,34,80
Chatham,26,311,16,10,31
Avalon Park,18,153,10,2,12
South Chicago,78,6774,145,17,335
Burnside,0,20,1,0,0
Calumet Heights,26,569,26,9,27
Rose Heights,27,458,25,13,64
Pullman,7,571,29,3,27
South Deering,20,4809,48,14,111
East Side,78,18076,231,84,235
West Pullman,14,1509,22,4,78
Riverdale,2,132,1,0,7
Hegewisch,63,4671,69,29,94
Garfield Range,380,13515,154,205,204
Archer Heights,145,10182,173,94,244
Brighton Park,2274,38693,485,277,739
McKinley Park,2467,10111,129,102,230
Bridgeport,10975,8627,151,125,263
New City,746,25431,558,75,809
West Elsdon,246,14314,231,132,174
Gage Park,153,35589,501,270,424
Clearing,225,10484,144,207,605
West Lawn,229,26669,379,283,349
Chicago Lawn,204,25141,407,173,489
West Englewood,23,774,23,8,37
Englewood,35,325,14,6,41
Greater Grand Crossing,21,388,26,10,18
Ashburn,282,15132,227,137,282
Auburn Gresham,33,459,42,11,44
Beverly,109,915,36,61,71
Washington Heights,12,258,15,8,23
Mount Greenwood,132,1382,34,32,50
Morgan Park,94,619,19,19,26
O'Hare,1034,1212,79,157,56
Edgewater,6493,9318,725,790,521
